,text,created_at,retweet_count,favorite_count,is_retweet
39,Join me today in Wilmington Ohio at 4pm: https://t.co/eCLECMkYLwTomorrow- Tampa Florida at 10am: https://t.co/N9380pVmuM,2016-11-04 15:32:00,4153.0,12957.0,False
40,The Clinton Campaign at Obama Justice #DrainTheSwamphttps://t.co/LZkvFc071z,2016-11-04 16:17:00,7487.0,15001.0,False
42,Clinton Aides: ‘Definitely’ Not Releasing Some HRC Emails:https://t.co/GY5pGKaDoW,2016-11-04 16:28:00,8002.0,15927.0,False
43,Thank you NH! We will end illegal immigration stop the drugs deport all criminal aliens&amp;save American lives! Watc… https://t.co/uxcazVkb32,2016-11-04 18:46:00,7466.0,20856.0,False
44,'ICE OFFICERS WARN HILLARY IMMIGRATION PLAN WILL UNLEASH GANGS CARTELS &amp; DRUG VIOLENCE NATIONWIDE'… https://t.co/09aSrBwQrv,2016-11-04 18:56:00,17286.0,26364.0,False
45,If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary we would all be much better off!,2016-11-04 19:07:00,41479.0,102045.0,False
46,Join me live in Wilmington Ohio!https://t.co/nQ2p4EulLu,2016-11-04 20:33:00,3758.0,13655.0,False
47,Thank you Ohio! VOTE so we can replace Obamacare and save healthcare for every family in the United States! Watch:… https://t.co/7CH8ZnGdOa,2016-11-04 23:14:00,9591.0,25451.0,False
48,The only thing that can stop this corrupt machine is YOU. The only force strong enough to save our country is US.… https://t.co/7dcSHOkuzc,2016-11-04 23:31:00,33882.0,65111.0,False
49,Join me live in Hershey Pennsylvania! #MakeAmericaGreatAgain LIVE: https://t.co/xEj6sZpb12 https://t.co/JWfGI1vlwW,2016-11-04 23:50:00,6651.0,19738.0,False
50,Join me in Denver Colorado tomorrow at 9:30pm!Tickets: https://t.co/LJYGIK7Mri,2016-11-04 23:57:00,5455.0,16787.0,False
51,Thank you Hershey Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley #ICYMI watch here… https://t.co/maWukVBTr8,2016-11-05 02:52:00,10275.0,28347.0,False
52,MAKE AMERICA GREAT AGAIN!,2016-11-05 13:33:00,59098.0,115387.0,False
53,Join me in Denver Colorado tonight at 9:30pm: https://t.co/LJYGIK7MriNEW- Scranton Pennsylvania Monday @ 5:30pm: https://t.co/BcErCtsPdF,2016-11-05 16:45:00,5813.0,16526.0,False
54,Thank you for the incredible support this morning Tampa Florida! #ICYMI- watch here: https://t.co/q43kHf7MoE https://t.co/1GscFNaV4L,2016-11-05 20:06:00,8224.0,23453.0,False
55,Thank you Wilmington North Carolina. We are 3 days away from the CHANGE you've been waiting for your entire life!… https://t.co/6ZJZRBfLST,2016-11-05 20:13:00,11008.0,32220.0,False
56,Watch Coach Mike Ditka- a great guy and supporter tonight at 8pmE on #WattersWorld with @jessebwatters @FoxNews.,2016-11-05 21:27:00,6773.0,21041.0,False
57,‘Must Act Immediately’: Clinton Charity Lawyer Told Execs They Were Breaking The Lawhttps://t.co/hsi4qhqTV1,2016-11-05 21:38:00,12637.0,21423.0,False
58,Top Clinton Aides Bemoan Campaign ‘All Tactics’ No Vision: https://t.co/mHYvQtIq78,2016-11-05 21:39:00,8130.0,16602.0,False
59,#DrainTheSwamp!https://t.co/z68vGp9Bvf,2016-11-05 21:46:00,10861.0,22060.0,False
60,JOIN ME TOMORROW!MINNESOTA • 2pmhttps://t.co/WcgLh4prS7MICHIGAN • 6pmhttps://t.co/9BqGVKNNrtVIRGINIA • 9:30p… https://t.co/A1oVhCrT6t,2016-11-06 00:19:00,6932.0,18440.0,False
61,Join me live in Reno Nevada!https://t.co/T4bf1hrxaA https://t.co/EPqRXHa1CM,2016-11-06 00:20:00,4736.0,17802.0,False
62,Thank you Reno Nevada. NOTHING will stop us in our quest to MAKE AMERICA SAFE AND GREAT AGAIN! #AmericaFirst… https://t.co/A4eeHoCbGS,2016-11-06 02:03:00,18650.0,47082.0,False
64,Great night in Denver Colorado- thank you! Together we will MAKE AMERICA GREAT AGAIN! #ICYMI watch rally here:… https://t.co/LbvNHo6T2k,2016-11-06 06:08:00,11018.0,31879.0,False
65,Van Jones: ‘There Is A Crack in the Blue Wall’ — It Has to Do With Trade: https://t.co/BvEF9cC7o7,2016-11-06 17:06:00,8529.0,19420.0,False
67,Thank you Iowa - Get out &amp; #VoteTrumpPence16! https://t.co/HfihPERFgZ https://t.co/QsukELQmKb,2016-11-06 19:26:00,9218.0,26645.0,False
68,MONDAY - 11/7/2016Scranton Pennsylvania at 5:30pm.https://t.co/BcErCtsPdFGrand Rapids Michigan at 11pm.… https://t.co/pgFMLp0173,2016-11-06 23:08:00,10190.0,27273.0,False
69,Thank you Minnesota! It is time to #DrainTheSwamp &amp; #MAGA! #ICYMI- watch: https://t.co/fVThC7yIL6 https://t.co/e8SaXiJrxj,2016-11-06 23:42:00,9567.0,25416.0,False
70,Our American comeback story begins 11/8/16. Together we will MAKE AMERICA SAFE &amp; GREAT again for everyone! Watch:… https://t.co/ek8Cn3CgTr,2016-11-07 00:09:00,15058.0,37113.0,False
71,Thank you Michigan! This is a MOVEMENT that will never be seen again- it's our last chance to #DrainTheSwamp! Watch… https://t.co/cSdGkCFYRL,2016-11-07 01:52:00,15691.0,39214.0,False
72,Thank you Pennsylvania- I am forever grateful for your amazing support. Lets MAKE AMERICA GREAT AGAIN! #MAGA… https://t.co/qbcJZAzw6z,2016-11-07 04:14:00,18558.0,48417.0,False
73,Thank you for you support Virginia! In ONE DAY - get out and #VoteTrumpPence16! #ICYMI: https://t.co/Nid8qcFTwY https://t.co/WOsEcjM8sm,2016-11-07 06:35:00,12558.0,33739.0,False
