\f0\fs24 \cf0 source,text,created_at,retweet_count,favorite_count,is_retweet,id_str\
\f0  Contrary to the Democrats' claims there's no COMPELLING reason to\'85,12/11/2019 14:15,3135,0,TRUE,1204766714598187010\,
Twitter for iPhone,RT @bennyjohnson: Want to see totalitarianism in America &amp; the silencing of political opposition?Want to see the true destruction of polit\'85,12/11/2019 14:15,8314,0,TRUE,1204766674374873088\
Twitter for iPhone,RT @RepMarkMeadows: I just got out of a nearly 2 hour briefing on the IG report.It is deeply disturbing. Some former FBI and DOJ official\'85,12/11/2019 14:15,23453,0,TRUE,1204766567617253376\
Twitter for iPhone,RT @RepLeeZeldin: \'93The Crossfire Hurricane team failed to inform Department officials of significant information that was available to the\'85,12/11/2019 14:14,3825,0,TRUE,1204766403661840385\
Twitter for iPhone,RT @RepDougCollins: Who ordered subpoenaed phone numbers be connected to members of Congress and journalists? Adam Schiff or Daniel Goldman\'85,12/11/2019 14:14,11911,0,TRUE,1204766369180508160\
Twitter for iPhone,RT @DonaldJTrumpJr: ,,,,,
\f1 \uc0\u55357 \u56613 \u55357 \u56613 \u55357 \u56613 ,,,,,,
\f0  but also very true. Sensenbrenner to Democrat Impeachment Lawyer: 'You Have Made Joe McCarthy Look Like a Piker'\'85,12/11/2019 14:13,4067,0,TRUE,1204766230374240264\,
Twitter for iPhone,RT @KimStrassel: Two biggest IG takeaways so far: --The FBI played the FISA court. The information about what it presented and what it exc\'85,12/11/2019 14:13,13463,0,TRUE,1204766113780961281\
Twitter for iPhone,RT @RepMarkMeadows: You won't see this in headlines because it proves EXACTLY what we've been saying.FBI used knowingly false and dubiou\'85,12/11/2019 14:13,6474,0,TRUE,1204766048702083073\
Twitter for iPhone,RT @RepMarkMeadows: Predictably some media allies of Democrats spinning hard. This is what the investigation was about pg 361:IG found\'85,12/11/2019 14:12,8042,0,TRUE,1204765974295142400\
Twitter for iPhone,RT @Jim_Jordan: We thought they spied on two Americans we now know it was FOUR. The Inspector General\'92s report confirms what many of us\'85,12/11/2019 14:12,19183,0,TRUE,1204765873778638849\
Twitter for iPhone,RT @ForAmerica: Rep. Gaetz just took a blow torch to the character integrity and testimony of Daniel Goldman. Goldman's eyes tell you ever\'85,12/11/2019 14:11,5396,0,TRUE,1204765756107493376\
Twitter for iPhone,RT @KimStrassel: Woah.  https://t.co/JMLd3z6wrd,12/11/2019 14:11,6590,0,TRUE,1204765680920346625\
Twitter for iPhone,RT @DonaldJTrumpJr: Wow but not at all surprising. Can\'92t let the truth of how insane this whole thing is get to actual Americans. The media\'85,12/11/2019 14:10,12859,0,TRUE,1204765507506839552\
Twitter for iPhone,RT @PressSec: FIVE INDISPUTABLE FACTS:1. No evidence of wrongdoing by @POTUS 2. Ukraine said there was no pressure3. Lethal aid to Ukrai\'85,12/11/2019 14:10,13924,0,TRUE,1204765334059835392\
Twitter for iPhone,RT @DonaldJTrumpJr: IG Report Confirms Schiff Memo Media Praised Was Riddled With Lies https://t.co/CEKpngAVX0,12/11/2019 14:10,6331,0,TRUE,1204765303386910720\
Twitter for iPhone,RT @TomFitton: Mr. Comey stole @realDonaldTrump's confidential FBI records and leaked them. And lied about it to investigators. https://t.c\'85,12/11/2019 14:09,12134,0,TRUE,1204765249456541696\
